Год,Месяц,Сумма
2024,Январь,0
2024,Февраль,10000
2024,Март,10000
2024,Апрель,0
2024,Май,8000
2024,Июнь,6500
2024,Июль,8277.77
2024,Август,4000.00
2024,Сентябрь,4100
2024,Октябрь,7801
2024,Ноябрь,5000
2024,Декабрь,6001
2025,Январь,6500
2025,Февраль,0
2025,Март,0
2025,Апрель,0
2025,Май,0
2025,Июнь,0
2025,Июль,0
2025,Август,0
2025,Сентябрь,0
2025,Октябрь,0
2025,Ноябрь,0
2025,Декабрь,0
